ga_label,ga_weeks,measure,sex,value,z_level
51,51.0,length,male,55.87,-2.0
51,51.0,length,male,57.78,-1.0
51,51.0,length,male,59.76,0.0
51,51.0,length,male,61.81,1.0
51,51.0,length,male,63.93,2.0
51,51.0,length,male,66.12,3.0
52,52.0,length,male,54.6,-3.0
52,52.0,length,male,56.47,-2.0
52,52.0,length,male,58.4,-1.0
52,52.0,length,male,60.4,0.0
52,52.0,length,male,62.47,1.0
52,52.0,length,male,64.61,2.0
52,52.0,length,male,66.82,3.0
53,53.0,length,male,55.15,-3.0
53,53.0,length,male,57.04,-2.0
53,53.0,length,male,59.0,-1.0
53,53.0,length,male,61.02,0.0
53,53.0,length,male,63.11,1.0
53,53.0,length,male,65.27,2.0
53,53.0,length,male,67.51,3.0
